"Items","Difficulty","Discrimination"
"Item1",0.23469877093773,0.25
"Item2",0.00197350468601705,0.25
"Item3",-0.699287576312946,3
"Item4",-0.435150613978461,0.25
"Item5",0.0118500833035967,0.25
"Item6",-1.62061751458192,0.25
"Item7",1.31494312910936,0.25
"Item8",0.303991416113999,3
"Item9",-1.15772742578387,0.25
"Item10",-1.73772591169845,0.25
"Item11",2.25179120521737,0.25
"Item12",1.57293150150526,0.25
"Item13",0.155441682646886,0.25
"Item14",-0.440671303925587,0.25
"Item15",0.370073425677334,3
