"ID","Theta","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10"
1,0.352159218255804,0,1,1,1,0,1,0,1,0,0
2,1.08365805273743,0,1,1,1,1,1,0,1,1,1
3,1.28251697207071,0,1,1,0,1,1,1,1,1,1
4,-1.25783198958366,1,0,0,0,1,0,0,1,0,1
5,0.196645565845243,1,1,1,0,0,0,0,1,1,0
6,1.13903178685309,1,0,1,1,0,1,1,0,1,1
7,-0.42787326366423,0,1,1,0,0,1,1,1,0,1
8,-0.212927914435049,1,0,0,0,1,1,0,1,0,0
9,-0.334479093078432,1,1,0,0,0,0,1,1,0,1
10,-1.77333808176703,0,1,0,1,0,0,0,0,0,1
11,-0.887979621082239,0,0,1,1,0,1,0,0,0,0
12,0.135614319972381,1,1,1,0,0,0,0,1,1,1
13,2.03927171052597,1,1,1,1,1,1,1,1,1,1
14,0.815312624933397,1,0,1,1,0,0,1,0,1,0
15,-0.563945486548775,0,0,0,1,0,0,0,1,0,1
16,1.20768587247416,1,1,1,0,1,0,1,1,1,0
17,-0.974441465416873,0,1,1,1,0,1,0,1,0,0
18,-1.4338404576227,1,1,1,0,1,0,0,1,0,0
19,-0.168397724114019,0,1,0,0,0,0,0,0,1,0
20,0.604731404948654,1,1,0,1,1,0,1,0,1,1
21,-0.506368265287925,1,1,0,1,0,0,0,0,0,0
22,0.526492602267365,0,0,0,0,1,1,1,1,1,0
23,-2.02024755424696,1,0,1,1,1,0,0,1,0,1
24,-0.262140044012784,1,0,0,1,0,0,0,0,0,1
25,1.07666450914756,0,1,0,1,0,1,1,1,1,0
26,-0.615738415372788,1,1,1,0,0,0,0,0,0,1
27,0.447996544014147,0,1,0,1,1,0,1,0,1,0
28,0.55170420024652,1,1,0,1,1,0,1,0,0,1
29,0.17873700632433,1,1,1,0,0,0,1,0,0,1
30,0.805045871771719,1,1,1,1,1,0,0,1,1,1
31,-0.797032807863864,0,1,0,1,0,0,0,1,0,1
32,0.184431919784191,0,0,1,1,0,1,1,0,0,0
33,-0.989052828268906,0,1,1,0,0,1,0,1,0,0
34,0.8825165704707,0,1,0,0,1,1,1,1,1,0
35,1.04722383976838,0,0,1,1,0,1,1,0,1,1
36,-0.365968259635292,1,1,0,0,0,1,0,0,0,1
37,-2.38597642118133,1,1,1,0,1,0,0,0,0,1
38,0.35460068688029,0,0,1,0,1,0,1,0,1,0
39,0.479211566341597,1,1,0,0,1,1,0,1,1,0
40,0.912931704845494,0,1,1,1,0,1,1,0,1,0
41,-0.100383210020554,1,0,0,1,1,0,0,1,1,1
42,1.44715738928847,1,1,1,0,0,1,1,1,1,0
43,-0.551750200991438,1,1,1,0,1,0,0,1,0,1
44,0.274799064526955,1,1,1,0,1,1,1,1,1,1
45,0.848960462656686,0,0,0,1,0,1,1,1,1,1
46,-1.50742904996108,1,0,1,0,0,1,0,1,0,0
47,0.613475765896118,0,1,0,1,0,0,1,0,1,1
48,-0.655449710293252,1,0,0,0,1,0,0,1,0,1
49,-1.01085513046601,1,0,1,0,0,1,0,1,0,1
50,-0.393879021487049,0,0,0,0,0,1,0,1,0,1
51,-0.769542732465744,0,1,0,0,0,0,0,1,0,1
52,1.09631730919344,0,1,1,1,1,0,0,1,1,0
53,0.160765081250723,0,0,1,0,0,1,0,0,1,1
54,1.2118978939598,0,1,0,1,1,0,1,1,1,1
55,-0.33157844096447,0,1,1,0,1,1,0,0,0,1
56,0.21300074915935,0,0,1,1,1,1,0,0,1,0
57,-0.416772784843914,0,0,1,1,1,0,0,1,1,0
58,-0.456864206048492,0,1,0,0,0,1,0,1,0,0
59,0.383147835226877,1,0,1,1,0,0,1,1,0,0
60,-0.0150271968378587,1,0,0,0,1,0,0,1,0,1
61,0.168293361537852,1,0,1,0,0,0,1,0,1,0
62,-0.575132998305183,0,0,1,0,0,0,0,0,0,1
63,-1.20389899955097,0,0,1,1,1,0,0,1,0,0
64,1.00472517089568,1,1,0,1,0,1,1,1,1,0
65,-0.123588434865988,0,1,1,1,0,0,0,0,1,0
66,-1.08380641128421,0,0,0,1,1,1,0,0,0,1
67,0.264348229068766,1,0,0,0,0,1,0,0,1,0
68,1.14067838914198,1,1,0,1,1,1,1,0,1,1
69,-1.6094389746258,0,1,0,0,0,0,0,1,0,1
70,-0.939072081486636,1,0,0,0,0,0,0,0,0,1
71,-0.796669585814781,1,1,0,1,1,0,0,1,0,0
72,0.85235877356556,1,1,1,1,0,0,1,0,1,1
73,1.29259628699761,0,0,0,0,1,1,1,1,1,1
74,0.860743806468668,1,1,0,0,0,1,0,1,1,0
75,-0.518656151524089,0,0,1,0,0,0,0,1,0,0
76,3.44370476347085,1,1,1,1,0,1,1,0,1,1
77,-1.53598270383848,0,0,1,1,0,1,0,0,0,0
78,-0.416812306399655,1,0,0,0,1,1,0,1,0,0
79,-0.469398913990955,0,0,1,0,0,0,0,0,0,0
80,-1.73016622934682,0,1,1,0,0,1,0,1,0,0
81,-1.16057805961243,1,1,1,1,1,0,0,0,0,0
82,0.815491422352198,0,1,0,1,0,1,1,1,1,0
83,-1.50175168817446,0,1,1,0,1,0,0,0,0,0
84,-1.45966893962495,0,0,0,1,1,0,0,1,0,0
85,0.0387347932567736,0,1,1,0,0,0,0,0,1,1
86,0.480176550871661,0,1,1,0,0,0,1,1,1,1
87,-0.288894270392943,1,1,1,0,1,0,0,0,0,0
88,0.436082618935308,0,0,0,0,1,1,0,1,1,1
89,1.23566532019556,0,0,0,0,1,1,1,0,1,0
90,0.527737899877359,1,0,1,0,1,0,1,0,0,1
91,-1.56096079707272,0,0,0,1,0,0,0,1,0,1
92,1.06330948588783,1,0,1,1,1,0,1,0,1,1
93,0.280843574495078,0,0,0,1,0,1,1,0,1,0
94,0.132624112813646,0,1,0,1,1,1,1,1,1,0
95,1.75123275817879,0,1,1,1,1,0,1,1,1,1
96,1.20761985563514,0,0,1,1,0,0,1,0,1,1
97,0.93425278087939,1,1,0,0,1,0,1,0,1,1
98,0.997385313994263,1,0,1,1,0,1,1,1,1,0
99,-0.312700284307733,1,0,1,0,1,0,1,0,0,0
100,-0.178669275104234,0,0,1,1,0,1,0,0,1,1
101,-0.825754361562197,0,0,0,1,0,1,0,0,0,0
102,1.12005079501287,1,1,1,1,0,0,1,1,1,0
