"ID","Theta","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10","Item11","Item12","Item13","Item14","Item15"
1,-0.537336768116338,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1
2,1.0839172135513,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1
3,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1
4,0.86130749045552,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
5,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1
6,-1.76796838617192,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,-1.59345637673843,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
8,-1.39559454928868,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
9,1.85696108888021,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1
10,-0.351183133162006,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1
11,0.0660683707607397,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0
12,-0.848879463977013,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
13,1.32490552703531,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,0.310225055989866,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1
15,0.0108891709154951,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1
16,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1
17,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1
18,-0.245413591383666,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0
19,-2.27399575129744,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
20,0.616202264532554,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
21,0.293357492200549,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1
22,1.86262392047676,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
23,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0
24,-0.554567015723993,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
25,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0
26,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1
27,1.19343325440213,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
28,-1.24798485218181,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
29,1.42540951322519,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1
30,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0
31,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1
32,1.41656041106519,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
33,-0.168053988920821,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0
34,-0.40345182103023,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1
35,0.860683302665729,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1
36,1.8919275467679,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1
37,-0.0729334602795506,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1
38,-0.018294483570683,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1
39,-1.3829925323699,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0
40,-1.3093169764015,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
41,0.930738204002127,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1
42,1.02820457506604,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1
43,0.197595685734978,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1
44,0.98836835037209,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1
45,-0.252667889137288,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0
46,1.09192533019781,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1
47,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1
48,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1
49,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1
50,-0.365909926731981,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1
51,0.497236438359033,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0
52,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1
