"Items","Difficulty","Discrimination"
"Item1",0.0431079085026697,3
"Item2",0.185522225689493,0.25
"Item3",0.0180278823781402,0.25
"Item4",-0.18931194234044,3
"Item5",0.422281989069325,3
"Item6",0.00155426619849633,0.25
"Item7",0.447976661805423,3
"Item8",0.150306297591014,0.25
"Item9",-0.367669228698112,0.25
"Item10",-0.494768327775575,0.25
"Item11",0.373550653809042,0.25
"Item12",0.239987842792733,3
"Item13",-0.804890799180814,3
"Item14",-0.292617508213428,0.25
"Item15",-0.039819390250613,3
"Item16",0.797136163690033,3
"Item17",-0.437967044553861,0.25
"Item18",-0.225832298657471,0.25
"Item19",-0.0862525295284988,0.25
"Item20",-0.461902399742582,0.25
"Item21",-0.146650305179468,0.25
"Item22",-0.0606693434688003,0.25
"Item23",-0.0181693587168575,0.25
"Item24",0.136294381762435,0.25
"Item25",0.657603676541804,0.25
"Item26",-0.322540212070792,3
"Item27",-0.417545532900866,0.25
"Item28",0.36000813006746,0.25
"Item29",0.112051708026927,0.25
"Item30",-0.620430202950341,0.25
"Item31",-0.308345509334904,0.25
"Item32",0.0054470477947818,3
"Item33",0.896794697800619,0.25
"Item34",-0.130718400402981,0.25
"Item35",0.370759204248808,3
"Item36",0.156737874159441,0.25
"Item37",0.118913876245681,0.25
"Item38",0.107703627002598,3
"Item39",-0.289937344304971,0.25
"Item40",-0.932098025556611,0.25
"Item41",-0.422807888851407,0.25
"Item42",-0.342337110775227,0.25
"Item43",-0.321056689712171,0.25
"Item44",0.382514643292355,0.25
"Item45",-0.265086256430961,0.25
