"ID","Theta","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10"
1,0,0,0,0,1,1,1,1,0,0,1
2,-1.17964916550237,0,0,0,0,0,0,1,0,0,0
3,-1.13921616642586,0,0,0,0,0,0,0,0,0,1
4,0,0,0,1,0,0,0,0,0,0,0
5,-0.0233642358211174,1,1,1,0,0,0,0,0,0,0
6,-0.0794965115813205,0,1,1,1,0,0,0,0,0,0
7,0.344132067808215,1,0,0,0,0,1,0,0,0,1
8,0.762915877982751,1,1,1,0,1,1,1,0,0,1
9,1.16667653385465,0,0,1,1,1,1,1,1,1,1
10,1.21298344675524,0,0,1,0,1,1,1,0,1,0
11,-0.920288635481177,0,0,1,0,0,0,0,0,0,0
12,-0.312692478690025,1,0,0,1,0,0,0,0,0,0
13,0,0,1,0,0,0,1,1,1,0,0
14,0,0,1,0,0,1,1,0,0,0,0
15,-0.464825872141357,0,1,1,0,0,0,0,0,0,0
16,-1.68972621987577,0,0,0,0,0,0,0,0,0,0
17,-0.245858937029879,0,0,0,0,0,0,0,1,1,1
18,0,0,0,0,0,0,0,1,0,0,0
19,-1.68634249876554,1,0,0,0,1,0,0,0,0,0
20,-1.55378384465742,0,1,0,0,0,0,0,0,0,0
21,0.851577012239326,1,1,1,0,0,1,1,0,1,0
22,0,1,1,0,0,1,1,0,0,0,0
23,-0.00324095738827538,1,1,0,1,1,0,1,0,0,0
24,-0.0812313478944453,0,0,0,0,1,1,1,0,0,0
25,0.344093292111098,1,1,0,0,0,0,1,1,0,0
26,-0.989327278697645,0,0,0,0,0,0,0,1,0,0
27,-1.33167191325834,0,0,0,0,0,0,0,0,0,0
28,2.01993124398237,1,1,1,1,1,1,1,1,1,1
29,-0.18402088210026,0,0,0,0,0,0,0,0,0,0
30,0.533275959873631,1,0,0,0,1,1,0,0,0,0
31,0.405060906158039,1,0,1,1,1,1,0,1,0,1
32,-0.450565110959629,0,0,1,0,1,0,1,0,0,0
33,0.226605992374474,0,1,1,0,1,1,0,0,0,1
34,1.94433832661083,1,1,1,0,1,1,1,1,1,0
35,-1.81691673790313,0,0,0,0,0,0,0,0,0,0
36,-0.376713046540773,0,1,1,0,1,0,1,0,0,0
37,1.22222201947541,1,1,1,0,1,1,0,1,1,0
38,0.874643795238416,1,0,1,1,1,0,0,1,1,0
39,-1.33665714549038,0,0,0,0,0,0,0,0,0,0
40,0,0,0,1,1,1,1,0,0,1,0
41,0,0,1,1,1,1,1,0,0,0,1
42,0.0239774131702515,1,1,0,1,1,1,1,1,0,0
43,0,0,1,0,0,0,1,0,0,0,0
44,-1.17676642550174,1,1,0,0,0,0,0,1,0,0
45,0,1,1,1,0,0,0,0,1,0,0
46,-0.209893222359206,1,0,1,1,0,1,0,1,0,1
47,0.142243199203574,0,0,1,0,1,1,1,1,0,0
48,0,1,1,0,1,1,0,0,0,0,0
49,0.020950496319975,1,0,1,0,1,0,0,0,0,0
50,-0.236773990309531,0,1,1,0,1,0,0,1,0,0
51,0.604133928893453,0,1,0,1,1,1,0,0,0,0
52,0.175764910782987,1,1,1,1,0,0,0,0,0,0
53,0.861910074150911,1,1,1,1,1,1,1,1,1,0
54,-0.445936968728437,1,0,0,0,0,0,0,0,0,0
55,-0.71786031464157,0,1,0,0,1,0,1,1,0,0
56,0.786436073991522,1,1,1,0,0,1,0,0,0,0
57,0,1,0,1,0,0,1,1,1,0,0
58,0,1,1,1,0,0,0,1,0,0,0
59,0,1,1,1,0,0,1,0,0,1,0
60,0,0,0,1,1,0,0,1,1,0,1
61,-0.156348552946578,0,1,0,1,0,1,1,0,0,0
62,-0.878608632539626,0,0,0,0,0,0,1,0,0,0
63,1.13110003469634,0,1,1,0,1,1,1,1,1,1
64,1.53222037249553,1,1,1,1,1,1,1,1,0,1
65,-0.815760356436281,1,1,0,0,0,0,0,0,0,0
66,-1.00847987988571,1,1,0,0,0,0,1,0,0,0
67,-0.0759177155230993,1,1,1,1,0,1,0,1,0,0
68,0,1,0,0,1,1,1,0,0,0,1
69,0.242861385381296,0,0,1,0,0,1,0,0,0,1
70,-0.363335187948287,0,0,1,0,1,0,0,1,0,0
71,0.240165224020371,1,0,0,1,1,1,0,0,0,0
72,0,0,1,0,0,0,0,0,0,0,0
73,-1.14985101632811,0,0,0,0,0,0,0,0,0,0
74,0.196241110445535,0,0,0,0,0,0,1,1,1,0
75,-0.1052855584316,0,0,0,0,0,0,1,0,0,1
76,-1.5030311858129,0,0,0,0,1,0,0,1,0,0
77,-1.30422999905179,0,0,1,0,1,0,0,0,0,0
78,0,1,0,0,1,1,0,0,1,0,0
79,0.864506754164704,1,1,1,1,1,0,1,0,1,1
80,-0.122779204529254,0,0,0,1,0,0,1,0,0,0
81,0,0,1,0,0,0,0,0,1,0,0
82,-0.687668458907068,0,0,0,0,1,0,0,1,0,0
83,0.283507758326903,0,0,0,1,0,1,1,0,0,0
84,0,1,0,1,0,0,0,1,1,0,0
85,-0.215322477295493,0,0,0,0,1,0,0,1,0,0
86,0,0,1,0,0,1,0,0,1,0,0
87,-0.786871091626979,0,0,0,0,1,0,0,0,0,1
88,-0.0911611663488133,0,0,0,0,1,0,0,0,0,0
89,0,1,1,1,0,0,0,0,0,1,0
90,1.85729125577991,1,0,1,0,1,1,1,1,1,1
91,0,0,0,1,0,1,1,0,1,0,0
92,-1.23035683762574,0,0,0,0,1,0,0,0,0,0
93,0,0,1,0,0,1,0,0,0,0,1
94,-0.408370399868763,0,1,1,0,0,0,0,0,0,0
95,0.503201535944034,1,1,1,1,1,1,1,0,1,0
96,0,0,1,1,0,1,0,0,0,0,0
97,0,1,1,1,0,0,0,0,1,0,0
98,-0.45402875981352,0,0,0,0,0,0,1,1,0,1
99,0,0,0,0,0,1,0,0,1,0,0
100,1.01046047781786,1,0,1,1,1,1,0,1,0,0
101,-0.670231237801969,0,1,1,0,0,0,1,0,0,0
102,-0.174959760614012,1,0,0,0,1,0,0,0,0,1
103,1.90871691387384,1,1,1,0,1,1,0,1,1,1
104,0.276851379583524,0,0,0,0,1,0,0,1,1,0
105,-1.43309740076686,0,0,0,0,1,0,0,0,0,0
106,1.41871921227304,1,0,1,1,1,1,1,1,1,0
107,0.317901483437591,0,0,1,1,1,1,0,0,1,1
108,0,0,1,0,0,0,0,0,1,0,0
109,0,1,1,1,1,0,0,1,1,0,0
110,2.62957181748216,1,1,1,1,1,1,1,1,1,1
111,1.21404055918031,1,1,1,0,1,0,1,1,1,1
112,0.436681082378909,0,0,0,0,0,1,0,0,1,1
113,0,0,0,1,0,1,0,1,0,0,0
114,-0.951497539981,0,0,0,1,0,0,0,0,0,0
115,0.00345192103930894,0,1,0,0,1,0,1,0,0,0
116,0.903164001060215,1,0,1,0,0,1,1,0,0,1
117,0.0154150416694742,0,0,0,0,0,1,0,0,0,1
118,0,0,0,0,1,1,1,0,0,0,0
119,-0.396139603183302,0,0,1,1,0,0,0,0,0,1
120,0.988306118622944,1,1,1,1,0,1,1,1,1,0
121,1.29958251574749,1,1,1,0,0,1,1,1,1,0
122,0,0,1,0,1,0,0,1,0,0,1
123,1.31573003422001,1,0,1,1,0,1,1,1,0,0
124,0,0,1,0,1,0,0,0,0,1,0
125,0.274633558151107,1,0,0,0,0,1,1,0,0,0
126,0,0,0,1,0,1,0,1,0,0,0
127,-2.58307314849059,0,0,0,0,0,0,0,0,0,0
128,0,0,0,1,0,1,0,1,0,0,0
129,0.357352408981135,1,0,1,0,0,1,0,1,0,0
130,0.636503654560618,1,1,0,1,1,1,0,0,0,0
131,0,1,0,1,1,1,0,0,0,0,0
132,0,1,1,0,1,1,1,1,1,0,0
133,0.0546146451125459,0,0,1,0,1,0,0,0,0,1
134,0.1024918426177,1,0,0,1,0,0,1,0,1,1
135,2.1807685920966,1,0,1,1,1,1,1,1,1,0
136,0.906381624869926,1,0,1,1,1,0,1,0,1,0
137,0,1,1,0,0,1,0,1,0,0,0
138,-1.24268638989042,1,0,0,0,0,0,0,0,0,0
139,-1.76926279071211,0,0,0,0,0,0,0,1,0,0
140,-1.08406805061404,1,0,0,0,0,0,0,0,0,0
141,0.451283966790417,0,0,1,0,1,1,1,1,0,1
142,0.309740888827651,1,1,0,1,0,1,0,1,0,0
143,0.191932278485916,0,0,1,0,1,1,0,1,0,0
144,-2.45637472914895,0,0,0,0,0,0,0,0,0,0
145,0.988042290469935,1,0,1,0,1,1,0,1,1,0
146,0.290504627572403,0,0,1,1,0,1,1,1,0,0
147,-1.0505989394966,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,1,0,1,1,1,0
149,0,0,0,1,0,1,0,1,0,0,0
150,-2.02023720721742,0,0,0,0,0,0,0,0,0,0
151,0,1,0,0,0,1,0,0,1,0,0
152,0.11795367733032,1,0,1,0,0,0,1,0,1,1
153,0,0,0,1,1,1,0,0,1,0,1
154,-0.0547407333183111,1,0,0,1,1,0,1,1,0,0
155,-0.835321047291692,0,0,1,0,0,1,0,0,0,0
156,0,0,0,0,1,1,0,1,1,0,0
157,1.05429915369343,0,1,1,1,1,1,0,0,1,0
158,0,0,1,0,0,0,0,0,1,0,0
159,-1.20270855871775,0,0,0,0,0,0,0,0,0,0
160,0,1,0,1,0,1,0,0,1,0,0
161,1.36129971446252,1,0,1,1,1,1,1,0,1,1
162,-0.207523033274813,0,0,1,0,0,1,1,1,0,1
163,0,0,0,1,0,1,0,0,0,0,1
164,0,0,1,0,0,0,1,1,0,0,0
165,0,1,0,1,1,0,1,1,0,0,0
166,0.971235059049387,1,1,1,1,1,1,1,1,1,0
167,-0.083569064158676,1,0,0,1,1,1,1,1,0,0
168,-1.80642427664617,0,0,0,0,0,0,0,1,0,0
169,0,0,1,1,0,0,1,0,0,0,0
