"ID","Theta","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10","Item11","Item12","Item13","Item14","Item15"
1,-0.246767325600523,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
2,-0.90781654419025,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
3,-0.530895148932493,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0
4,0.00216121479900653,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1
5,0.00376276251374377,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1
6,1.24422165505747,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
7,-0.296940145714463,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
8,-2.285356423453,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0.637677611618263,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1
10,-0.463904480996085,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1
11,-1.24903522427297,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
12,-0.779593239522781,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0
13,-0.426265306353734,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
14,-1.17275622381838,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
15,-1.04347219303925,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
16,0.222773571421309,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1
17,1.21136831138262,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1
18,0.49948825175437,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1
19,-1.5218140517168,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
20,-0.0587906323546676,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
21,1.5637693543455,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1
22,-0.0115799896946711,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1
23,-0.423717703355818,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
24,0.297429599608416,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1
25,-1.44287328617924,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
26,-2.07018093050701,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,-1.3347987133688,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
28,0.804275028822748,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1
29,-0.377233060498425,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1
30,-0.636939032658409,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1
31,1.09043114111215,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1
32,-0.0412163887721309,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1
33,-2.00981751250798,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
34,0.0671915740232141,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1
