"ID","Theta","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
1,-1.29230066506125,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2,-0.648321041684497,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
3,-1.64312525856352,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
4,1.12950766491014,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0
5,-0.919834887244563,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0
6,-0.693254616459871,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0
7,0.933854858561411,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0
8,-0.81244024919999,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
9,0.336956850295194,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0
10,0.315056424047794,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
11,-0.0358100354937644,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
12,1.71771266972175,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0
13,-1.71927124169002,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0
14,1.30944034386136,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0
15,-0.242805838165822,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
16,0.575895203521189,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0
17,0.274655615296646,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0
18,-1.4149121171813,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0
19,-0.577853206355109,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0
20,0.542448972315684,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0
21,-0.43865948961678,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0
22,0.773110093961686,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0
23,0.0657557275051242,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0
24,-0.512996100036759,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0
25,-1.051069601633,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0
26,-0.687073065448529,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0
27,0.274828500254836,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0
28,-0.363001228541046,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
29,0.232038430607403,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
30,-0.304778667425257,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0
31,1.39045690799055,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0
32,0.596852452458762,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0
33,-0.482630171135822,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0
34,-1.71737321605454,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
35,-0.503544598535134,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0
36,-0.863902202363724,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0
37,1.85902669273104,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1
38,0.766126998842682,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0
39,-2.86186979124395,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0
40,0.0774343826653019,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0
41,0.46836175875147,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0
42,-0.633344418358678,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
43,-0.524689241742781,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
44,-0.762175043060194,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
45,-2.49810831542492,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
46,-2.15753338532762,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
47,-0.51852029984957,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
48,1.74239956479655,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0
49,0.188782308364781,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,0.418773631809779,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0
51,0.430632666656654,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
52,-0.401967808213214,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
53,-1.97240828564949,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
54,1.28883436023929,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0
55,-0.219492044916141,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0
56,-0.484842891367685,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0
57,1.2574931850306,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0
58,-0.693052003914794,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
59,-1.44021629962605,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0
60,-0.156247146837575,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
61,-0.88637433120671,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
62,-0.250642355352887,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
63,1.33820253520389,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0
64,0.401347576374622,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0
65,0.0292681990228908,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
66,1.73137624273429,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1
67,1.25839175770608,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0
68,0.0776883811319495,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
69,-0.283310879172079,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0
70,-0.616260844288687,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0
71,-0.563870837134836,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
72,1.15064131764227,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0
73,-0.35670561498207,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
74,-1.60776701670339,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0
75,0.491672426221595,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0
76,-0.867427826726402,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0
77,-0.178830011839773,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0
78,2.37505132952475,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1
79,0.524214455227958,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0
80,0.930613180525486,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0
81,-1.83296511422066,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0
82,0.822220554459143,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0
83,-1.2429962604847,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
84,1.37082559734024,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1
85,0.0728455028310725,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0
86,-1.51592818047019,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0
87,-1.2464754035089,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
88,-1.08252777359689,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0
89,-1.55143897436661,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0
90,-0.0699550366870692,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0
91,1.46789502693243,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0
92,1.26231335850488,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0
93,-1.25104617136519,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0
94,-0.487600981316569,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
95,1.2322527367462,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0
96,-0.416787540008333,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
97,-0.641788790675844,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0
98,0.667482397194139,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0
