"ID","Theta","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10"
1,-1.01439103004963,0,0,0,0,0,0,0,0,0,0
2,1.20275328853587,1,1,1,1,1,1,1,1,1,1
3,2.4461578107835,1,1,1,1,1,1,1,0,1,1
4,-0.626496128331725,0,0,0,0,0,0,0,0,1,0
5,0,1,0,1,0,1,0,1,1,0,0
6,0,0,0,0,1,1,1,0,1,1,1
7,0.285393263885774,1,1,1,1,1,0,1,1,1,0
8,0.0540241392925435,1,1,1,1,0,0,1,0,0,1
9,-0.830269600997607,0,1,1,0,0,0,1,0,0,0
10,0.892572312060495,1,1,1,1,1,1,0,0,0,0
11,0.604169853500179,1,1,1,1,1,1,1,1,1,1
12,0.542307853115722,0,1,1,1,1,1,1,1,1,1
13,0,1,0,1,0,0,1,1,0,0,0
14,0,1,1,0,1,1,1,0,0,0,1
15,0.224452121626387,1,1,1,0,1,0,0,0,0,1
16,-0.413683908173299,0,0,1,0,0,1,0,0,0,0
17,-0.913401941894076,0,0,0,0,0,0,0,0,0,0
18,0,1,1,0,0,0,1,1,1,0,1
19,1.07887506226024,1,1,1,1,1,1,0,1,0,1
20,0,1,0,0,1,0,1,1,1,1,1
21,1.83274535069879,1,1,1,1,1,1,1,1,1,1
22,0.779814415125925,1,1,1,1,1,1,0,1,1,1
23,-0.903370030952217,0,0,0,0,0,0,0,0,0,0
24,-0.55850922257546,0,0,0,0,0,1,1,1,1,0
25,0.835437069047434,1,0,1,1,1,1,1,1,0,1
26,0,1,0,0,0,1,0,1,1,1,0
27,0,0,1,1,1,1,1,1,1,0,1
28,0,1,1,1,1,1,0,1,1,1,1
29,0,1,0,1,1,0,0,1,1,0,1
30,-0.588526678227832,0,0,0,1,1,0,0,0,0,0
31,0,0,0,0,1,0,0,1,0,0,0
32,-0.569893111468018,0,0,0,0,0,0,0,0,0,1
33,1.02236989204761,1,1,1,1,1,0,0,1,1,0
34,-1.52399598534843,0,0,0,1,0,0,0,0,0,0
35,0.382470796784915,1,1,1,0,1,1,1,0,1,1
36,0.0883716163587108,1,0,1,1,0,1,1,0,0,0
37,0,0,1,0,0,1,1,0,0,0,0
38,0.277742269670402,0,1,0,0,1,0,0,0,0,1
39,-0.123285293010947,0,1,0,0,0,0,0,0,0,0
40,0,0,0,1,1,0,1,0,0,1,0
41,-0.234236252269534,0,0,0,1,1,0,0,0,1,1
42,-0.295605905992221,0,0,0,1,0,1,0,0,0,0
43,-0.934671109108781,0,0,0,0,0,0,0,0,0,0
44,0.218750256500183,0,0,1,1,1,1,1,1,1,0
45,0,1,1,1,1,0,1,1,1,1,1
46,1.12508024243988,1,1,1,1,1,1,1,1,1,1
47,0.0996820260977393,1,1,0,1,1,0,0,0,0,1
48,-0.534772056324935,0,0,0,0,0,0,1,0,0,0
49,0.403216920344136,0,1,0,1,1,1,0,1,0,1
50,-2.45030251809749,1,0,0,0,0,0,0,0,0,0
51,-1.5764576558901,0,0,0,0,0,0,0,0,0,0
52,0.708495210126201,1,1,1,1,1,1,1,1,1,1
53,-0.696630423057334,0,0,0,1,0,0,1,1,1,1
54,0.039918770420938,0,1,1,1,0,0,0,0,0,0
55,1.14079812924943,0,1,1,1,1,1,1,1,1,1
56,-0.280912442920014,0,0,0,1,0,1,0,0,1,1
57,-1.22744065636116,0,0,0,0,0,0,0,0,0,0
58,1.81845911407775,1,1,1,1,1,1,1,1,1,1
59,0,1,1,1,0,1,0,1,1,0,0
60,0,0,1,0,0,1,1,0,0,0,0
61,0,1,1,0,1,0,1,0,1,1,1
62,-0.095998954691927,1,0,0,0,0,1,1,0,0,1
63,-2.50203933869027,0,0,0,0,0,0,0,0,0,0
64,1.81867866320521,1,1,1,1,1,1,1,1,1,1
65,-0.697504705586243,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,1,1,1,1,1,1,0
67,-1.30416012305603,0,0,0,0,0,0,0,0,0,0
68,0.955465457181514,1,1,1,0,1,1,1,1,1,1
69,0,1,1,1,0,0,1,1,0,1,1
70,0,1,1,0,1,1,0,1,0,1,1
71,0,0,1,1,1,0,1,1,1,1,1
72,0.992206441838073,1,1,1,1,1,1,1,1,1,1
73,-1.26845810974503,0,0,0,0,0,0,0,0,1,0
74,0.302371769973624,0,1,1,0,0,0,1,1,1,1
75,0.456662177601971,1,1,1,1,1,1,1,1,1,0
76,-0.411433048533982,0,0,0,1,0,0,0,0,0,0
77,-1.4458227571857,0,0,0,0,0,0,1,0,0,0
78,-0.286333792192677,0,1,1,1,0,0,0,1,1,1
79,0.744529900940227,1,0,0,0,1,1,1,1,1,1
80,0,0,1,1,1,1,0,1,0,0,1
81,0,0,0,0,0,1,1,1,0,0,0
82,1.75416773815451,1,1,1,1,1,1,1,1,1,1
83,-1.27614424179051,0,0,0,0,0,0,0,0,0,0
84,0.920066486296326,1,1,1,0,1,1,1,1,1,1
85,0,1,1,0,1,0,0,1,0,0,0
86,0.547892243880833,1,0,1,1,1,1,0,1,1,0
87,0.860826931033538,1,1,1,1,0,1,1,1,1,1
88,0.258714824459513,1,0,1,1,1,1,0,0,0,0
89,0,1,1,0,0,0,1,1,1,1,1
90,0,0,1,1,0,1,0,1,1,0,1
91,-2.15227574494673,0,0,0,0,0,0,0,0,0,0
92,0.6557451049482,1,0,1,1,1,1,1,0,1,1
93,0.172519282399193,1,1,1,0,1,0,1,1,1,1
94,0.830391703480439,1,1,1,0,1,1,1,1,1,1
95,-0.302578098725803,1,0,1,1,0,1,0,1,0,0
96,0,1,1,0,1,0,1,0,1,0,1
97,-0.509244111076019,0,0,0,0,0,0,1,1,1,1
98,0.545866455278348,0,1,1,0,1,0,1,1,0,0
